�1;un;rapace;12;22;22;ss;dd;ff;gg;hh;hh;hh;hh;hh;;;;;;
2;Accipitriformes;Accipitridae;441604;188728;441604;Espèce;"Accipiter bicolor";"(Vieillot, 1817)";"Accipiter bicolor (Vieillot, 1817)";"Accipiter bicolor (Vieillot, 1817)";"""Épervier bicolore """;;Chordata;Aves;Animalia;;;;;
3;Accipitriformes;Accipitridae;645315;188728;645315;Espèce;"Accipiter cooperii";"(Bonaparte, 1828)";"Accipiter cooperii (Bonaparte, 1828)";"Accipiter cooperii (Bonaparte, 1828)";"Épervier de Cooper";;Chordata;Aves;Animalia;;Crochu;gris;jaune;
4;Accipitriformes;Accipitridae;698711;188728;698711;Espèce;"Accipiter efficax";"Balouet & Olson, 1989";"Accipiter efficax Balouet & Olson, 1989";"Accipiter efficax Balouet & Olson, 1989";;;Chordata;Aves;Animalia;;creux;bleu;rouge;
5;Accipitriformes;Accipitridae;441605;188728;441605;Espèce;"Accipiter fasciatus";"(Vigors & Horsfield, 1826)";"Accipiter fasciatus (Vigors & Horsfield, 1826)";"Accipiter fasciatus (Vigors & Horsfield, 1826)";;;Chordata;Aves;Animalia;;Crochu;marron;jaune;
6;Accipitriformes;Accipitridae;432708;441605;432708;Sous-espèce;"Accipiter fasciatus vigilax";"(Wetmore, 1926)";"Accipiter fasciatus vigilax (Wetmore, 1926)";"Accipiter fasciatus vigilax (Wetmore, 1926)";"Autour australien, Émouchet gris";"Brown Goshawk";Chordata;Aves;Animalia;;;;;
7;Accipitriformes;Accipitridae;459459;0;441606;Espèce;"Accipiter francesiae";"Smith, 1834";"Accipiter francesiae Smith, 1834";"Accipiter francesii A. Smith, 1834";"Épervier de Mayotte";;Chordata;Aves;Animalia;;;;;
8;Accipitriformes;Accipitridae;441606;188728;441606;Espèce;"Accipiter francesii";"A. Smith, 1834";"Accipiter francesii A. Smith, 1834";"Accipiter francesii A. Smith, 1834";"Épervier de Mayotte";;Chordata;Aves;Animalia;;;;;
9;Accipitriformes;Accipitridae;418715;441606;418715;Sous-espèce;"Accipiter francesii brutus";"(Schlegel, 1866)";"Accipiter francesii brutus (Schlegel, 1866)";"Accipiter francesii brutus (Schlegel, 1866)";"Épervier de Frances";;Chordata;Aves;Animalia;;Crochu;jaune;gris;
10;Accipitriformes;Accipitridae;2891;188728;2891;Espèce;"Accipiter gentilis";"(Linnaeus, 1758)";"Accipiter gentilis (Linnaeus, 1758)";"Accipiter gentilis (Linnaeus, 1758)";"Autour des palombes";"Northern Goshawk";Chordata;Aves;Animalia;;Courbé;gris;jaune;
11;Accipitriformes;Accipitridae;416684;0;2891;Espèce;"Astur palumbarius";"Linnaeus, 1758";"Astur palumbarius Linnaeus, 1758";"Accipiter gentilis (Linnaeus, 1758)";"Autour des palombes";"Northern Goshawk";Chordata;Aves;Animalia;;;;;
